osm_id,name,add.flats,addr.city,addr.flats,addr.housename,addr.housenumber,addr.postcode,addr.street,amenity,building
295099321,NA,NA,Stroud,NA,NA,9,GL5 1BA,"Millbrook Place, Lansdown",NA,terrace
295099322,NA,NA,Stroud,NA,NA,7,GL5 1BA,"Millbrook Place, Lansdown",NA,terrace
295099326,NA,NA,Stroud,NA,NA,4,GL5 1BA,"Millbrook Place, Lansdown",NA,terrace
295099327,NA,NA,Stroud,NA,NA,1,GL5 1BA,"Millbrook Place, Lansdown",NA,semidetached_house
466182593,NA,NA,Stroud,NA,NA,8,GL5 1BA,"Millbrook Place, Lansdown",NA,terrace
466182594,NA,NA,Stroud,NA,NA,5,GL5 1BA,"Millbrook Place, Lansdown",NA,terrace
466182595,NA,NA,Stroud,NA,NA,6,GL5 1BA,"Millbrook Place, Lansdown",NA,terrace
466182596,NA,NA,Stroud,NA,NA,3,GL5 1BA,"Millbrook Place, Lansdown",NA,terrace
782274230,NA,NA,Stroud,NA,NA,2,GL5 1BA,"Millbrook Place, Lansdown",NA,semidetached_house
782274231,NA,NA,Stroud,NA,NA,10,GL5 1BA,"Millbrook Place, Lansdown",NA,terrace
260947507,NA,NA,Stroud,"Flat 1, Flat 2",NA,"Flat 1, 3",GL5 1BB,Lansdown,NA,house
261107414,NA,NA,Stroud,NA,NA,7A,GL5 1BB,Lansdown,NA,apartment
261107425,NA,NA,Stroud,NA,NA,7B,GL5 1BB,Lansdown,NA,apartment
782442098,NA,Flat 2,Stroud,NA,NA,3-4,GL5 1BB,Lansdown,NA,apartment
261107413,NA,NA,Stroud,NA,NA,32,GL5 1BG,Lansdown,NA,semidetached_house
782277315,NA,NA,Stroud,NA,NA,31,GL5 1BG,Lansdown,NA,semidetached_house
782281392,NA,NA,Stroud,NA,NA,28,GL5 1BG,Lansdown,NA,terrace
782281393,NA,NA,Stroud,NA,NA,27,GL5 1BG,Lansdown,NA,terrace
782281394,NA,NA,Stroud,NA,NA,26,GL5 1BG,Lansdown,NA,terrace
